model,medbullets,medical_bias,ecthr,CAMS,SAD,djinni,education_ranking,mt_gender,ontonotes,bold,bbq
claude4,0.81,0.61,0.28,0.53,0.63,0.71,0.43,0.7,0.43,0.67,0.76
o4mini,0.76,0.76,0.21,0.78,0.64,0.71,0.25,0.81,0.37,0.43,0.55
gpt41mini,0.64,0.6,0.4,0.57,0.66,0.67,0.67,0.45,0.54,0.37,0.55
gpt41,0.36,0.48,0.33,0.1,0.65,0.68,0.41,0.64,0.3,0.51,0.6
deepseek_v3,0.62,0.08,0.43,0.74,0.61,0.51,0.68,0.57,0.64,0.37,0.57
llama3b,0.18,0.61,0.78,0.53,0.2,0.22,0.87,0.36,0.75,0.46,0.37
llama1b,0.28,0.5,0.75,0.44,0.64,0.13,0.2,0.33,0.57,0.43,0.23
llama8b,0.35,0.53,0.78,0.42,0.12,0.47,0.43,0.16,0.49,0.78,0.38
